MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,B,NOK,EUR,79858986,8.23450-,1,1
800,B,NOK,EUR,79858985,8.28840-,1,1
800,B,NOK,EUR,79858984,8.38110-,1,1
800,B,NOK,EUR,79849890,9.05930-,1,1
800,B,NOK,EUR,79849887,9.10730-,1,1
800,G,NOK,EUR,79858989,8.26460-,1,1
800,G,NOK,EUR,79858986,8.23000-,1,1
800,G,NOK,EUR,79858985,8.28690-,1,1
800,G,NOK,EUR,79858984,8.37750-,1,1
800,G,NOK,EUR,79849890,9.05630-,1,1
800,G,NOK,EUR,79849887,9.10180-,1,1
800,B,HKD,EUR,79858989,0.79000-,1,1
800,B,HKD,EUR,79858986,0.78830-,1,1
800,B,HKD,EUR,79858985,0.79340-,1,1
800,B,HKD,EUR,79849891,0.78190-,1,1
800,B,HKD,EUR,79849890,0.77960-,1,1
800,B,HKD,EUR,79849887,0.77950-,1,1
800,G,HKD,EUR,79858989,0.78810-,1,1
800,G,HKD,EUR,79858986,0.78780-,1,1
800,G,HKD,EUR,79858985,0.79290-,1,1
800,G,HKD,EUR,79849891,0.78150-,1,1
800,G,HKD,EUR,79849890,0.77940-,1,1
800,G,HKD,EUR,79849887,0.77920-,1,1
800,B,AED,EUR,79858989,4.65350-,1,1
800,B,AED,EUR,79858986,4.66010-,1,1
800,B,AED,EUR,79858985,4.64790-,1,1
800,B,AED,EUR,79849890,4.33900-,1,1
800,B,AED,EUR,79849887,4.33460-,1,1
800,G,AED,EUR,79858989,4.65300-,1,1
800,G,AED,EUR,79858986,4.65920-,1,1
800,G,AED,EUR,79858985,4.64710-,1,1
800,G,AED,EUR,79849891,4.32460-,1,1
800,G,AED,EUR,79849890,4.33820-,1,1
800,G,AED,EUR,79849887,4.33340-,1,1
800,B,CZK,EUR,79858989,27.49900-,1,1
800,B,CZK,EUR,79858986,27.53200-,1,1
800,B,CZK,EUR,79858985,27.57500-,1,1
800,B,CZK,EUR,79849890,28.06200-,1,1
800,B,CZK,EUR,79849887,28.40000-,1,1
800,G,CZK,EUR,79858989,27.47900-,1,1
800,G,CZK,EUR,79858986,27.50200-,1,1
800,G,CZK,EUR,79858985,27.54300-,1,1
800,G,CZK,EUR,79849890,27.99200-,1,1
800,G,CZK,EUR,79849887,28.38000-,1,1
